,Age,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
Kevin Durant,29,82,82,3382,820,1558,184,451,533,553,41,840,881,615,61,184,184,246,2357,.526,.409,.963
Stephen Curry,29,82,82,3321,758,1886,451,1086,287,287,61,430,492,553,123,61,225,225,2255,.402,.415,1.000
Klay Thompson,27,82,82,3034,492,1025,246,574,82,102,0,307,307,82,41,20,102,246,1312,.480,.429,.800
Draymond Green,27,82,82,3382,307,594,61,287,82,102,82,410,492,697,164,123,102,369,758,.517,.214,.800
JaVale McGee,30,82,61,1127,328,410,0,0,0,20,82,102,184,0,0,102,20,123,656,.800,,.000
Shaun Livingston,32,82,0,1332,266,307,0,0,82,82,20,205,225,123,20,0,20,143,615,.867,,1.000
Jordan Bell,23,82,0,1107,205,287,0,20,61,123,82,184,266,82,20,41,0,82,471,.714,.000,.500
Andre Iguodala,34,41,0,922,143,246,61,123,41,41,20,61,82,20,61,41,20,123,389,.583,.500,1.000
Kevon Looney,21,82,20,799,102,143,0,0,0,82,82,41,123,20,20,0,0,82,205,.714,,.000
Zaza Pachulia,33,41,0,123,20,61,0,0,123,123,20,41,61,0,0,20,20,0,164,.333,,1.000
David West,37,82,0,574,61,102,20,20,0,0,41,61,102,82,0,61,61,82,143,.600,1.000,
Nick Young,32,82,0,779,41,266,20,205,0,0,0,41,41,0,0,0,0,61,102,.154,.100,
Quinn Cook,24,41,0,82,20,61,0,20,0,0,0,0,0,0,0,0,0,0,41,.333,.000,
Patrick McCaw,22,82,0,225,0,0,0,0,41,41,20,0,20,0,20,0,0,0,41,,,1.000
LeBron James,33,82,82,3669,1004,1906,123,369,656,779,184,512,697,820,102,82,410,225,2788,.527,.333,.842
Kevin Love,29,82,82,2726,533,1312,184,574,307,328,287,635,922,143,82,20,102,123,1558,.406,.321,.938
J.R. Smith,32,82,82,2665,266,840,184,512,61,102,82,184,266,102,102,0,61,164,779,.317,.360,.600
George Hill,31,82,82,2398,205,635,143,328,61,123,102,82,184,184,61,20,123,328,615,.323,.438,.500
Rodney Hood,25,82,0,1148,246,553,20,102,41,61,102,205,307,61,41,41,41,82,553,.444,.200,.667
Tristan Thompson,26,82,82,1927,266,512,0,0,20,61,164,266,430,0,0,61,20,143,553,.520,,.333
Larry Nance,25,82,0,1394,184,369,0,0,102,246,307,266,574,123,41,41,41,143,471,.500,,.417
Jeff Green,31,82,0,1988,164,574,61,287,41,41,41,61,102,164,20,20,41,61,430,.286,.214,1.000
Jordan Clarkson,25,41,0,512,61,266,0,61,0,0,20,61,82,20,41,20,41,41,123,.231,.000,
Kyle Korver,36,82,0,1332,20,328,20,225,61,102,41,102,143,61,0,20,41,143,123,.063,.091,.600
Ante Zizic,21,61,0,102,61,61,0,0,0,0,20,0,20,0,0,0,0,41,123,1.000,,
Jose Calderon,36,61,0,164,41,82,0,20,0,0,20,41,61,41,20,0,0,0,82,.500,.000,
Cedi Osman,22,61,0,164,41,102,0,20,0,0,0,20,20,0,0,0,0,0,82,.400,.000,
